state,name,id,type,heatInput,load,co2Mass,so2Mass,noxMass,heatRate,co2Rate
FL,Turkey Point,621,Oil,42968935.22,6489196.63,2317402118.4444747,11874.144465000001,144647.01951,6.621610912720948,357.1169515392655
FL,Crystal River,628,Coal,49012904.42,4923991.21,4561981153.962226,2755660.620075,2105396.76237,9.953897626880615,926.4803610326156
FL,Crystal River,628,Gas,77245862.26,11598089.26,4164527954.287305,21023.10519,1927965.89133,6.660223121959316,359.07017620998244
FL,P L Bartow,634,Oil,49521707.46,6740334.3,2683677432.6080847,13552.436715,734473.30533,7.347069930937995,398.1519778044369
FL,Gulf Clean Energy Center,641,Oil,3255415.353,323345.8,185159809.64139,1087.714815,62288.229285,10.067906720916122,572.6371260779945
FL,Gulf Clean Energy Center,641,Gas,18669558.09,1709592.1,1016196148.8907801,5283.44544,903177.0566700001,10.920475176505553,594.4085427692255
FL,Lansing Smith Generating Plant,643,Gas,32456280.95,4637829.36,1749807672.922845,8833.260345,396346.404945,6.998161948330069,377.2902228819485
FL,Big Bend,645,Coal,21940323.33,2098782.93,1725657987.2890053,925731.49014,800177.9933249999,10.453831607063812,822.2184212680847
FL,Big Bend,645,Oil,55934.937,4888.29,3015813.15534,15.422145000000002,2323.300785,11.442638836893883,616.9464486231382
FL,Big Bend,645,Gas,33826602.17,3545328.87,2366479106.921715,928966.51185,1066588.29072,9.541174714773359,667.4921265969085
FL,Deerhaven,663,Coal,6526914.996,595045.74,368042482.4208751,117281.783985,346969.23258,10.968761823250764,618.5112465822797
FL,Deerhaven,663,Oil,1934077.892,159496.2,104682053.90611501,18266.169975,122382.88523999999,12.126169099953477,656.3294542823904
FL,Deerhaven,663,Gas,8460992.888,754541.94,472724536.32699007,135547.95396,469352.11782,11.213416298635435,626.505315697879
FL,J R Kelly,664,Oil,5733500.404,702431.72,309110245.24406993,1560.3582000000001,66827.783025,8.162359757899317,440.0573556730467
FL,J D Kennedy,666,Oil,2694795.49,266998.67,145880221.39782003,809.20902,47050.24284,10.092917279325775,546.3705920251215
FL,Northside,667,Coal,18561565.55,1799026.66,1711851507.9297152,1257115.2844200002,400286.30939999997,10.317560024374515,951.5431571924094
FL,Northside,667,Oil,22118958.41,1852697.36,1199084526.9567301,255451.502595,1607197.0687350002,11.938786597072713,647.2101449730193
FL,Northside,667,Gas,22118958.41,1852697.36,1199084526.9567301,255451.502595,1607197.0687350002,11.938786597072713,647.2101449730193
FL,Tom G Smith,673,Oil,705.658,100.54,37386.908220000005,0.0,82.553835,7.018679132683509,371.86103262383136
FL,Charles Larsen Memorial Power Plant,675,Oil,2019207.255,158679.57,109007723.36022,616.8858,52815.403515,12.725061298061243,686.9675999261908
FL,C D McIntosh Jr Power Plant,676,Oil,559881.531,46762.24,30199244.270415,152.40708,22709.562105000005,11.972940795821586,645.8040562303047
FL,C D McIntosh Jr Power Plant,676,Gas,16982281.87,1520649.58,915575452.4602801,4622.107575,201194.582115,11.167781251746376,602.0949629041295
FL,Indian River (683),683,Oil,984615.452,66574.31,53168383.75539,2248.911615,29431.802955,14.789720719598897,798.6321413678941
FL,Arvah B Hopkins,688,Oil,11013481.19,1420497.96,594100360.034415,10728.36981,81764.58404999999,7.753253788551727,418.23387063112364
FL,S O Purdom,689,Oil,10791714.36,878049.37,582212533.4052451,11503.1058,147232.49676,12.290555324924382,663.0749400859374
GA,Bowen,703,Coal,90255474.62,9306554.71,8400720052.684801,4997090.68038,4786875.9578100005,9.698054482290793,902.6670249580255
GA,Jack McDonough,710,Oil,41122930.72,6202409.5,2216768015.6340456,12217.96758,148684.89994499998,6.630154090922246,357.4043306289347
GA,Jack McDonough,710,Gas,123961062.0,18681977.62,6682795118.988344,34762.422015000004,439865.88376500004,6.63532868529365,357.71347417920435
GA,McManus,715,Oil,316044.9,23934.0,,71683.94433,172026.769995,13.204850839809477,
GA,Yates,728,Gas,16169347.93,1533449.93,871735993.16145,4400.754435,544794.5296049999,10.544425099031438,568.4802458215574
OK,Ponca,762,Oil,298523.35,35370.88,16093774.878825001,81.64665000000001,8546.589885,8.439805568874736,455.00069206152074
OK,Ponca,762,Gas,413257.488,46933.12,22279640.783205003,112.49094,12699.682815,8.805242182919013,474.7104130985752
IL,E D Edwards,856,Coal,27513395.88,2915682.04,2617771969.15044,6076527.432255001,1907834.548995,9.436349884022333,897.8249113714883
IL,Joliet 9,874,Gas,171649.699,9890.25,9230932.14723,40.823325000000004,4428.87717,17.35544591896059,933.3365837294305
IL,Kincaid Generating Station,876,Coal,39155351.47,3980750.25,3725457180.98022,1618381.7526,654618.345705,9.836173839340963,935.8681019941454
IL,Powerton,879,Coal,59372778.01,5579731.54,5728835389.14003,2780939.3301,2814934.273605,10.640794737948987,1026.7224055621912
IL,Waukegan,883,Coal,14391486.85,1351242.5,1380770927.535375,725572.9132950001,728259.0880800001,10.65055817146071,1021.8527966189453
IL,Will County,884,Coal,3711569.8,347419.5,355632826.65037495,248847.19579500004,179942.86630500003,10.683251227982309,1023.6409489115463
IL,Joppa Steam,887,Coal,40576455.1,3948986.91,3859853802.8699102,9962985.990164999,2124201.800235,10.275155634790393,977.4288674129614
IL,Joppa Steam,887,Gas,26904586.87,2657300.21,2559037845.75549,6709485.828899999,1451348.128845,10.124782577727641,963.0217301474905
IL,Baldwin Energy Complex,889,Coal,62769430.71,6541375.57,5972224611.615991,2164120.6617900003,2097442.56429,9.59575398756687,912.9921600902653
IL,Venice,913,Oil,5910.962,492.97,318655.98873,1.81437,290.29920000000004,11.990510578737043,646.4003666146012
IL,Venice,913,Gas,237316.824,22497.82,12793864.94733,65.31732,5545.621905000001,10.548436426284857,568.6713178134593
IL,Dallman,963,Coal,13388081.85,1426282.78,1242553035.5875049,385380.352665,378074.79186,9.386695287732493,871.1828068116372
IL,Marion,976,Coal,10885021.64,743856.32,1044361159.6189651,2545234.5234,405323.907705,14.633231374575136,1403.9823707069736
IL,Marion,976,Oil,1456049.6,98959.34,78262577.79450001,4035.15888,23114.166615,14.713614702765804,790.8558989429397
