date,year,month,dow,btc,hashrate,btcReward,difficulty,btcDiffEra,mWhPerBTC,revPerMWhBTC,coal,coalLag,costMWh,costMWhLag,paLMP,paLMPQuantile,dummyBuy,dummySell,temp,precip,heatInput,load,co2Mass,so2Mass,noxMass,loadPanther,loadCambria,co2MassCambria,loadColver,co2MassColver,loadGilberton,co2MassGilberton,loadMtCarmel,co2MassMtCarmel,loadStNicholas,co2MassStNicholas,loadNorthampton,co2MassNorthampton
2016-09-14,2016,9,3,608.82,1751289.223,12.5,225833000000.0,107.0,0.8248153646532439,738.1288299060126,42.35,42.1,29.35442771084337,17.88826895565093,33.59583058333333,6,1,0,19.947962415135066,0.9273361341002371,23810900000.0,1411965.9134583334,2298.443916,3.36384198,1.8306993299999998,0.0,2005943.2047083336,2762.1968880000004,2831.0,0.0,1860506.8801666668,2848.0165890000003,950.0,1703.0584005,1839878.3494583336,3302.8791480000004,0.0,0.0
2016-09-15,2016,9,4,610.38,1728836.79,12.5,225833000000.0,107.0,0.8142408053691275,749.6308167990803,42.35,42.1,29.35442771084337,17.88826895565093,23.06184885416667,2,1,0,17.65550245971184,0.39667185688410733,21335700000.0,1245901.0582083333,2059.672824,2.98100991,1.6973431350000001,0.0,1328400.6685075,1878.986065995,2734.0,0.0,1823349.6096520836,2800.117221,952.0,1655.431188,1807536.1304583335,3246.9058335,0.0,0.0
2016-09-16,2016,9,5,609.11,1571669.81,12.5,225833000000.0,107.0,0.7402189144000942,822.8781893443636,41.45,42.1,28.952680722891564,17.88826895565093,22.367475083333332,2,1,0,17.312938719090425,1.5883290502082597,21639100000.0,1258755.0170416667,2089.1563365,3.0236476050000003,1.368942165,0.0,992346.3541250001,1429.6328415,2699.0,0.0,909624.909375,1465.5573675,941.0,1630.937193,1799139.5928333336,3296.5288530000003,0.0,0.0
2016-09-17,2016,9,6,607.04,1829872.714,12.5,225833000000.0,107.0,0.8618263106087365,704.3646643500911,41.45,42.1,28.952680722891564,17.88826895565093,18.640655625,0,1,0,18.59467988258382,4.059826493977964,22496500000.0,1299390.1127083334,2172.2544825,3.17696187,1.461475035,0.0,990376.7959166667,1416.2065035,2501.35,0.0,910557.858,1496.9459685,939.0,1631.844378,1810956.9420833336,3304.9656735,0.0,0.0
2016-09-18,2016,9,7,611.58,1627800.88,12.5,225833000000.0,107.0,0.7666553067231838,797.7248636209117,41.45,42.1,28.952680722891564,17.88826895565093,21.7353145,1,1,0,19.361099786911666,2.3812752848650374,24785400000.0,1519565.9882083335,2392.5190005000004,3.44911737,1.700971875,0.0,1009243.0903333334,1438.432536,0.0,0.0,831775.5296666668,1402.2358545,941.0,1681.8302715000002,1825262.1543333335,3368.6500605,0.0,0.0
2016-09-19,2016,9,1,610.19,1493086.32,12.5,225833000000.0,107.0,0.7032079689155777,867.723386213866,41.45,42.1,28.952680722891564,17.88826895565093,27.56895625,4,1,0,18.793570435149547,12.934484087022447,23514413000.0,1519138.90506,2270.5370910300003,3.237743265,1.495948065,0.0,1786495.0291358335,2477.45691768,0.0,0.0,272439.6574725,474.32712036,928.0,1691.355714,1808780.0619583335,3364.930602,0.0,0.0
2016-09-20,2016,9,2,608.66,1717610.584,12.5,225833000000.0,107.0,0.8089535306723183,752.4041578681841,41.45,42.1,28.952680722891564,17.88826895565093,37.65084220833334,7,1,0,18.983702361263227,3.0148713978227253,10102393000.0,530744.1066666667,975.3282012750001,1.515906135,0.66768816,0.0,1830548.8632083335,2545.3796730000004,320.58,0.0,1284359.2737500002,2048.2422930000002,945.0,1665.773097,1826817.0687083337,3363.84198,0.0,0.0
2016-09-21,2016,9,3,598.88,1863551.35,12.5,225833000000.0,107.0,0.8776881431767338,682.3380316297696,41.45,42.1,28.952680722891564,17.88826895565093,29.938453729166667,5,1,0,19.475619984026025,2.6337875445817214,12123100000.0,676180.4312083333,1170.4500870000002,1.742702385,0.893577225,0.0,1924465.6914583335,2642.811342,0.0,0.0,1885281.8492083335,2889.928536,961.0,1660.9650165,1820286.4283333335,3422.8997235,0.0,0.0
2016-09-22,2016,9,4,597.42,1582896.02,12.5,225833000000.0,107.0,0.7455061909808078,801.361554374241,41.45,42.1,28.952680722891564,17.88826895565093,30.468558291666668,5,1,0,19.371527567965302,1.7388742274070155,14012200000.0,744907.6465833334,1352.8849905,2.1273488250000003,0.9806669849999999,0.0,1828268.3221250002,2519.7063375000002,760.3,0.0,1901349.2977500001,2895.6438015000003,965.0,1659.3320835,1802353.0825416667,3414.0093105,0.0,0.0
2016-09-23,2016,9,5,594.08,1526764.964,12.5,225833000000.0,107.0,0.7190698052513835,826.1784817849672,41.45,42.1,28.952680722891564,17.88826895565093,27.952509104166666,4,1,0,19.660437969506972,0.28529897147421834,13645200000.0,744182.019875,1317.3233384999999,1.9041813150000002,0.8881341150000001,0.0,2003455.3417083335,2772.5387969999997,2611.0,0.0,1871080.2979166666,2872.4198655,962.0,1664.3216009999999,1824329.2057083335,3427.7985225,0.0,0.0
